Fondsposition per,"10.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"570","CHINA TRADITIONAL CHI MEDICINE CO","Gesundheitsversorgung","Aktien","204.214,46","0,02","204.214,46","399.372,00","0,51","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"4300","DAR AL ARKAN REAL ESTATE DEVELOPME","Immobilien","Aktien","203.475,39","0,02","203.475,39","67.792,00","3,00","Saudi-Arabien","Saudi Stock Exchange","SAR"
"1995","CIFI EVER SUNSHINE SERVICES GROUP","Immobilien","Aktien","202.081,15","0,02","202.081,15","130.000,00","1,55","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"AWC.R","ASSET WORLD CORP PCL NON-VOTING DR","Zyklische Konsumgüter ","Aktien","201.265,50","0,02","201.265,50","1.367.100,00","0,15","Thailand","Stock Exchange Of Thailand","THB"
"177","JIANGSU EXPRESSWAY LTD H","Industrie","Aktien","200.383,50","0,02","200.383,50","194.000,00","1,03","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2208","XINJIANG GOLDWIND SCIENCE AND TECH","Industrie","Aktien","199.114,77","0,02","199.114,77","128.940,00","1,54","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"000060","MERITZ FIRE & MARINE INSURANCE LTD","Financials","Aktien","198.055,12","0,02","198.055,12","6.683,00","29,64","Korea","Korea Exchange (Stock Market)","KRW"
"MONET","MONETA MONEY BNK","Financials","Aktien","197.066,60","0,02","197.066,60","54.687,00","3,60","Tschechien","Prague Stock Exchange","CZK"
"3347","HANGZHOU TIGERMED CONSULTING LTD H","Gesundheitsversorgung","Aktien","196.846,32","0,02","196.846,32","20.600,00","9,56","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1208","MMG LTD","Materialien","Aktien","196.415,51","0,02","196.415,51","528.000,00","0,37","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"220","UNI-PRESIDENT LTD","Nichtzyklische Konsumgüter","Aktien","193.045,37","0,02","193.045,37","223.721,00","0,86","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"035760","CJ ENM LTD","Kommunikation","Aktien","192.942,80","0,02","192.942,80","1.866,00","103,40","Korea","Korea Exchange (Kosdaq)","KRW"
"285130","SK CHEMICALS LTD","Materialien","Aktien","192.318,34","0,02","192.318,34","1.985,00","96,89","Korea","Korea Exchange (Stock Market)","KRW"
"BRFS3","BRF BRASIL FOODS SA","Nichtzyklische Konsumgüter","Aktien","191.645,15","0,02","191.645,15","60.838,00","3,15","Brasilien","XBSP","BRL"
"BAM.R","BANGKOK COMMERCIAL ASSET MANAGEMEN","Financials","Aktien","190.646,35","0,02","190.646,35","299.500,00","0,64","Thailand","Stock Exchange Of Thailand","THB"
"552","CHINA COMMUNICATIONS SERVICES CORP","Industrie","Aktien","190.425,18","0,02","190.425,18","366.000,00","0,52","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2380","RABIGH REFINING AND PETROCHEMICAL","Energie","Aktien","190.126,27","0,02","190.126,27","26.466,00","7,18","Saudi-Arabien","Saudi Stock Exchange","SAR"
"694","BEIJING CAPITAL INTERNATIONAL AIRP","Industrie","Aktien","189.849,92","0,02","189.849,92","312.000,00","0,61","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"INTP","INDOCEMENT TUNGGAL PRAKARSA","Materialien","Aktien","189.272,36","0,02","189.272,36","252.599,00","0,75","Indonesien","Indonesia Stock Exchange","IDR"
"FROTO.E","FORD OTOMOTIV SANAYI A","Zyklische Konsumgüter ","Aktien","189.086,54","0,02","189.086,54","11.799,00","16,03","Türkei","Istanbul Stock Exchange","TRY"
"2669","CHINA OVERSEAS PROPERTY HOLDINGS L","Immobilien","Aktien","187.539,95","0,02","187.539,95","185.000,00","1,01","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ACEN","AC ENERGY CORPORATION CORP","Versorger","Aktien","187.234,44","0,02","187.234,44","1.199.600,00","0,16","Philippinen","Philippine Stock Exchange Inc.","PHP"
"7030","MOBILE TELECOMMUNICATIONS","Kommunikation","Aktien","183.125,24","0,02","183.125,24","52.124,00","3,51","Saudi-Arabien","Saudi Stock Exchange","SAR"
"CCU","COMPANIA CERVECERIAS UNIDAS SA","Nichtzyklische Konsumgüter","Aktien","182.355,50","0,02","182.355,50","25.558,00","7,13","Chile","Santiago Stock Exchange","CLP"
"RATCH.R","RATCH GROUP PCL NON-VOTING DR","Versorger","Aktien","182.321,44","0,02","182.321,44","134.300,00","1,36","Thailand","Stock Exchange Of Thailand","THB"
"1787","SHANDONG GOLD MINING LTD H","Materialien","Aktien","181.864,09","0,02","181.864,09","92.500,00","1,97","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"UGPA3","ULTRAPAR PARTICIPOES SA","Energie","Aktien","181.432,80","0,02","181.432,80","70.543,00","2,57","Brasilien","XBSP","BRL"
"152","SHENZHEN INTERNATIONAL HOLDINGS LT","Industrie","Aktien","181.210,16","0,01","181.210,16","183.144,00","0,99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"631","SANY HEAVY EQUIPMENT INTERNATIONAL","Industrie","Aktien","181.090,69","0,01","181.090,69","180.000,00","1,01","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MBK","MBANK SA","Financials","Aktien","180.904,90","0,01","180.904,90","2.310,00","78,31","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"956","CHINA SUNTIEN GREEN ENERGY CORP LT","Energie","Aktien","180.114,03","0,01","180.114,03","296.000,00","0,61","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6185","CANSINO BIOLOGICS INC","Gesundheitsversorgung","Aktien","179.577,12","0,01","179.577,12","11.600,00","15,48","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1060","ALIBABA PICTURES GROUP LTD","Kommunikation","Aktien","178.968,63","0,01","178.968,63","2.000.000,00","0,09","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BGRIM.R","B.GRIMM POWER PCL NON-VOTING DR","Versorger","Aktien","176.189,76","0,01","176.189,76","179.700,00","0,98","Thailand","Stock Exchange Of Thailand","THB"
"TAL","TAL EDUCATION GROUP ADR REPTG","Zyklische Konsumgüter ","Aktien","175.728,80","0,01","175.728,80","72.020,00","2,44","China","New York Stock Exchange Inc.","USD"
"4001","ABDULLAH AL OTHAIM MARKETS","Nichtzyklische Konsumgüter","Aktien","174.221,51","0,01","174.221,51","5.784,00","30,12","Saudi-Arabien","Saudi Stock Exchange","SAR"
"1530","3SBIO INC","Gesundheitsversorgung","Aktien","172.668,93","0,01","172.668,93","234.500,00","0,74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ICBP","INDOFOOD CBP SUKSES MAKMUR","Nichtzyklische Konsumgüter","Aktien","172.046,74","0,01","172.046,74","317.010,00","0,54","Indonesien","Indonesia Stock Exchange","IDR"
"000120","CJ LOGISTICS CORP","Industrie","Aktien","171.738,65","0,01","171.738,65","1.586,00","108,28","Korea","Korea Exchange (Stock Market)","KRW"
"ASELS.E","ASELSAN ELEKTRONIK SANAYI VE TICAR","Industrie","Aktien","171.510,13","0,01","171.510,13","104.086,00","1,65","Türkei","Istanbul Stock Exchange","TRY"
"HAPSENG","HAP SENG CONSOLIDATED","Industrie","Aktien","169.376,87","0,01","169.376,87","96.900,00","1,75","Malaysia","Bursa Malaysia","MYR"
"2013","WEIMOB INC","IT","Aktien","169.253,19","0,01","169.253,19","331.000,00","0,51","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MYR","MYR CASH","Cash und/oder Derivate","Geldmarkt","168.494,19","0,01","168.494,19","705.612,00","23,88","Malaysia","-","MYR"
"282330","BGF RETAIL LTD","Nichtzyklische Konsumgüter","Aktien","168.361,49","0,01","168.361,49","1.220,00","138,00","Korea","Korea Exchange (Stock Market)","KRW"
"3799","DALI FOODS GROUP LTD","Nichtzyklische Konsumgüter","Aktien","166.926,88","0,01","166.926,88","328.091,00","0,51","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ELET6","CENTRAIS ELETR BRAS-ELETROBRAS SER","Versorger","Aktien","166.569,81","0,01","166.569,81","24.599,00","6,77","Brasilien","XBSP","BRL"
"012750","S-1 CORP","Industrie","Aktien","165.182,33","0,01","165.182,33","2.988,00","55,28","Korea","Korea Exchange (Stock Market)","KRW"
"900932","SHANGHAI LUJIAZUI FINANCE & TRADE","Immobilien","Aktien","163.863,61","0,01","163.863,61","180.268,00","0,91","China","Shanghai Stock Exchange","USD"
"1030","SEAZEN GROUP LTD","Immobilien","Aktien","162.129,39","0,01","162.129,39","366.553,00","0,44","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"IQ","IQIYI ADS REPRESENTING INC","Kommunikation","Aktien","161.822,52","0,01","161.822,52","50.412,00","3,21","China","NASDAQ","USD"
"BRKM5","BRASKEM PREF SERIES A SA","Materialien","Aktien","161.172,86","0,01","161.172,86","17.431,00","9,25","Brasilien","XBSP","BRL"
"CBG.R","CARABAO GROUP PCL SHS NON-VOTING D","Nichtzyklische Konsumgüter","Aktien","160.012,07","0,01","160.012,07","52.000,00","3,08","Thailand","Stock Exchange Of Thailand","THB"
"3808","SINOTRUK (HONG KONG) LTD","Industrie","Aktien","158.516,29","0,01","158.516,29","107.082,00","1,48","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"4220","EMAAR THE ECONOMIC CITY","Immobilien","Aktien","157.648,78","0,01","157.648,78","48.477,00","3,25","Saudi-Arabien","Saudi Stock Exchange","SAR"
"002790","AMOREG","Nichtzyklische Konsumgüter","Aktien","157.147,00","0,01","157.147,00","4.098,00","38,35","Korea","Korea Exchange (Stock Market)","KRW"
"MPI","METRO PACIFIC INV CORP","Financials","Aktien","156.180,05","0,01","156.180,05","2.201.400,00","0,07","Philippinen","Philippine Stock Exchange Inc.","PHP"
"QAR","QAR CASH","Cash und/oder Derivate","Geldmarkt","154.017,31","0,01","154.017,31","560.893,00","27,46","Qatar","-","QAR"
"GGRM","GUDANG GARAM","Nichtzyklische Konsumgüter","Aktien","153.623,95","0,01","153.623,95","70.200,00","2,19","Indonesien","Indonesia Stock Exchange","IDR"
"MONDE","MONDE NISSIN CORP","Nichtzyklische Konsumgüter","Aktien","152.178,71","0,01","152.178,71","555.000,00","0,27","Philippinen","Philippine Stock Exchange Inc.","PHP"
"1157","ZOOMLION HEAVY INDUSTRY SCIENCE AN","Industrie","Aktien","151.228,49","0,01","151.228,49","260.000,00","0,58","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"001040","CJ CORP","Industrie","Aktien","149.658,78","0,01","149.658,78","2.292,00","65,30","Korea","Korea Exchange (Stock Market)","KRW"
"006280","GREEN CROSS(SOUTH KOREA) CORP","Gesundheitsversorgung","Aktien","149.083,66","0,01","149.083,66","974,00","153,06","Korea","Korea Exchange (Stock Market)","KRW"
"EGIE3","ENGIE BRASIL ENERGIA SA","Versorger","Aktien","148.684,21","0,01","148.684,21","18.802,00","7,91","Brasilien","XBSP","BRL"
"F&N","FRASER & NEAVE HOLDINGS","Nichtzyklische Konsumgüter","Aktien","147.503,07","0,01","147.503,07","27.900,00","5,29","Malaysia","Bursa Malaysia","MYR"
"ZAR","ZAR CASH","Cash und/oder Derivate","Geldmarkt","146.485,47","0,01","146.485,47","2.206.254,00","6,64","Südafrika","-","ZAR"
"CRFB3","ATACADAO CARREFOUR SA","Nichtzyklische Konsumgüter","Aktien","144.205,25","0,01","144.205,25","37.312,00","3,86","Brasilien","XBSP","BRL"
"NOAH","NOAH HOLDINGS ADR REPRESENTING .5","Financials","Aktien","143.324,28","0,01","143.324,28","6.387,00","22,44","China","New York Stock Exchange Inc.","USD"
"GTCAP","GT CAPITAL HOLDINGS INC","Industrie","Aktien","142.642,73","0,01","142.642,73","13.905,00","10,26","Philippinen","Philippine Stock Exchange Inc.","PHP"
"1055","CHINA SOUTHERN AIRLINES LTD H","Industrie","Aktien","141.494,71","0,01","141.494,71","249.292,00","0,57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"136","CHINA RUYI HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","141.257,38","0,01","141.257,38","500.000,00","0,28","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3319","A-LIVING SERVICES LTD H","Immobilien","Aktien","139.902,33","0,01","139.902,33","95.000,00","1,47","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"138040","MERITZ FINANCIAL GROUP INC","Financials","Aktien","136.783,02","0,01","136.783,02","5.325,00","25,69","Korea","Korea Exchange (Stock Market)","KRW"
"MEGACPO","MEGACABLE HOLDINGS CPO","Kommunikation","Aktien","135.732,21","0,01","135.732,21","46.620,00","2,91","Mexiko","Bolsa Mexicana De Valores","MXN"
"909","MING YUAN CLOUD GROUP HOLDINGS LTD","IT","Aktien","132.549,28","0,01","132.549,28","104.000,00","1,27","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"493","GOME RETAIL HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","132.542,89","0,01","132.542,89","2.033.000,00","0,07","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ISCTR.E","TURKIYE IS BANKASI C","Financials","Aktien","129.602,67","0,01","129.602,67","237.418,00","0,55","Türkei","Istanbul Stock Exchange","TRY"
"023530","LOTTE SHOPPING LTD","Zyklische Konsumgüter ","Aktien","129.043,76","0,01","129.043,76","1.843,00","70,02","Korea","Korea Exchange (Stock Market)","KRW"
"ENGI11","ENERGISA UNITS SA","Versorger","Aktien","127.477,13","0,01","127.477,13","14.994,00","8,50","Brasilien","XBSP","BRL"
"IMAB","I MAB ADR","Gesundheitsversorgung","Aktien","125.102,60","0,01","125.102,60","6.755,00","18,52","China","NASDAQ","USD"
"TWD","TWD CASH","Cash und/oder Derivate","Geldmarkt","124.842,86","0,01","124.842,86","3.539.170,00","3,53","Taiwan","-","TWD"
"1516","SUNAC SERVICES HOLDINGS LTD","Immobilien","Aktien","124.454,78","0,01","124.454,78","183.000,00","0,68","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3331","VINDA INTERNATIONAL LTD","Nichtzyklische Konsumgüter","Aktien","123.871,86","0,01","123.871,86","51.000,00","2,43","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GBP","GBP CASH","Cash und/oder Derivate","Geldmarkt","121.503,39","0,01","121.503,39","92.549,00","131,29","Vereinigtes Königreich","-","GBP"
"051905","LG HOUSEHOLD & HEALTH CARE PREF LT","Nichtzyklische Konsumgüter","Aktien","119.584,78","0,01","119.584,78","288,00","415,22","Korea","Korea Exchange (Stock Market)","KRW"
"ENELCHILE","ENEL CHILE SA","Versorger","Aktien","116.861,76","0,01","116.861,76","4.153.567,00","0,03","Chile","Santiago Stock Exchange","CLP"
"813","SHIMAO GROUP HOLDINGS LTD","Immobilien","Aktien","115.718,56","0,01","115.718,56","214.000,00","0,54","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6808","SUN ART RETAIL GROUP LTD","Nichtzyklische Konsumgüter","Aktien","115.299,80","0,01","115.299,80","348.241,00","0,33","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1964717D","MOTHERSON SUMI WIRING INDIA LTD","Zyklische Konsumgüter ","Aktien","112.844,88","0,01","112.844,88","216.076,00","0,52","Indien","National Stock Exchange Of India","INR"
"2002","NATIONAL PETROCHEMICAL PETROCHEM","Materialien","Aktien","112.276,53","0,01","112.276,53","9.117,00","12,32","Saudi-Arabien","Saudi Stock Exchange","SAR"
"2777","GUANGZHOU R&F PROPERTIES LTD H","Immobilien","Aktien","111.358,88","0,01","111.358,88","274.800,00","0,41","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CD","CHINDATA GROUP HOLDING ADR REPRESE","IT","Aktien","110.209,61","0,01","110.209,61","19.369,00","5,69","China","NASDAQ","USD"
"2314","LEE & MAN PAPER MANUFACTURING LTD","Materialien","Aktien","108.945,87","0,01","108.945,87","201.000,00","0,54","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PLN","PLN CASH","Cash und/oder Derivate","Geldmarkt","108.714,72","0,01","108.714,72","471.431,00","23,06","Polen","-","PLN"
"839","CHINA EDUCATION GROUP HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","106.767,57","0,01","106.767,57","144.000,00","0,74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BIDI11","BANCO INTER UNT SA","Financials","Aktien","105.706,39","0,01","105.706,39","30.300,00","3,49","Brasilien","XBSP","BRL"
"DIDI","DIDI GLOBAL ADR REPRESENTING INC","Industrie","Aktien","104.661,70","0,01","104.661,70","30.965,00","3,38","China","New York Stock Exchange Inc.","USD"
"KC","KINGSOFT CLOUD HOLDINGS ADR REPRES","IT","Aktien","99.154,89","0,01","99.154,89","18.061,00","5,49","China","NASDAQ","USD"
"8010","THE COOPERATIVE INSURANCE","Financials","Aktien","97.592,11","0,01","97.592,11","4.718,00","20,69","Saudi-Arabien","Saudi Stock Exchange","SAR"
"873","SHIMAO SERVICES HOLDINGS LTD","Immobilien","Aktien","97.517,45","0,01","97.517,45","163.000,00","0,60","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"STGT.R","SRI TRANG GLOVES (THAILAND) PCL NO","Gesundheitsversorgung","Aktien","96.547,55","0,01","96.547,55","131.700,00","0,73","Thailand","Stock Exchange Of Thailand","THB"
"1238","POWERLONG REAL ESTATE HOLDINGS LTD","Immobilien","Aktien","92.526,78","0,01","92.526,78","220.000,00","0,42","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9926","AKESO INC","Gesundheitsversorgung","Aktien","90.506,99","0,01","90.506,99","40.000,00","2,26","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3333","CHINA EVERGRANDE GROUP","Immobilien","Aktien","85.723,30","0,01","85.723,30","453.094,00","0,19","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1813","KWG GROUP HOLDINGS LTD","Immobilien","Aktien","85.636,49","0,01","85.636,49","231.000,00","0,37","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3383","AGILE GROUP HOLDINGS LTD","Immobilien","Aktien","84.677,73","0,01","84.677,73","180.000,00","0,47","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ALPA4","SAO PAULO ALPARGATAS PREF SA","Zyklische Konsumgüter ","Aktien","81.681,37","0,01","81.681,37","17.600,00","4,64","Brasilien","XBSP","BRL"
"9668","CHINA BOHAI BANK LTD H H","Financials","Aktien","77.102,24","0,01","77.102,24","569.000,00","0,14","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"EAST","EASTERN CO.","Nichtzyklische Konsumgüter","Aktien","73.749,97","0,01","73.749,97","105.881,00","0,70","Ägypten","Egyptian Exchange","EGP"
"DADA","DADA NEXUS ADS REPRESENTING LTD","Zyklische Konsumgüter ","Aktien","73.414,00","0,01","73.414,00","10.340,00","7,10","China","NASDAQ","USD"
"MXN","MXN CASH","Cash und/oder Derivate","Geldmarkt","72.133,11","0,01","72.133,11","1.512.054,00","4,77","Mexiko","-","MXN"
"2500","VENUS MEDTECH HANGZHOU INC H","Gesundheitsversorgung","Aktien","68.374,96","0,01","68.374,96","31.500,00","2,17","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"336","HUABAO INTERNATIONAL HOLDINGS LTD","Materialien","Aktien","67.212,95","0,01","67.212,95","138.000,00","0,49","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"INR","INR CASH","Cash und/oder Derivate","Geldmarkt","65.070,14","0,01","65.070,14","4.965.177,00","1,31","Indien","-","INR"
"PHP","PHP CASH","Cash und/oder Derivate","Geldmarkt","64.112,86","0,01","64.112,86","3.343.646,00","1,92","Philippinen","-","PHP"
"3380","LOGAN GROUP COMPANY LTD","Immobilien","Aktien","52.306,50","0,00","52.306,50","218.809,00","0,24","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BCPR","HAPVIDA REDEEMABLE PREF","Gesundheitsversorgung","Aktien","46.210,74","0,00","46.210,74","51.288,00","0,90","Brasilien","XBSP","BRL"
"FWRY","FAWRY FOR BANKING TECHNOLOGY AND E","IT","Aktien","41.172,48","0,00","41.172,48","70.495,00","0,58","Ägypten","Egyptian Exchange","EGP"
"HKD","HKD CASH","Cash und/oder Derivate","Geldmarkt","40.986,89","0,00","40.986,89","320.624,00","12,78","Hongkong","-","HKD"
"HUF","HUF CASH","Cash und/oder Derivate","Geldmarkt","33.543,08","0,00","33.543,08","11.579.269,00","0,29","Ungarn","-","HUF"
"TRY","TRY CASH","Cash und/oder Derivate","Geldmarkt","26.902,33","0,00","26.902,33","398.693,00","6,75","Türkei","-","TRY"
"1986597","SAMSUNG BIOLOGICS CO LTD RIGHTS","Gesundheitsversorgung","Aktien","23.446,37","0,00","23.446,37","187,00","125,38","Korea","Korea Exchange (Stock Market)","KRW"
"CLP","CLP CASH","Cash und/oder Derivate","Geldmarkt","23.117,37","0,00","23.117,37","18.626.819,00","0,12","Chile","-","CLP"
"CZK","CZK CASH","Cash und/oder Derivate","Geldmarkt","16.420,51","0,00","16.420,51","374.795,00","4,38","Tschechien","-","CZK"
"816","CHINA JINMAO HOLDINGS GROUP LTD","Immobilien","Aktien","10.908,09","0,00","10.908,09","14.712,00","0,74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"AMER9","AMERICANAS RIGHTS SA","Zyklische Konsumgüter ","Aktien","9.646,28","0,00","9.646,28","1.624,00","5,94","Brasilien","XBSP","BRL"
"SAR","SAR CASH(COMMITTED)","Cash und/oder Derivate","Geldmarkt","8.854,72","0,00","8.854,72","33.218,00","26,66","Saudi-Arabien","-","SAR"
"EGP","EGP CASH","Cash und/oder Derivate","Geldmarkt","4.286,38","0,00","4.286,38","67.446,00","6,36","Ägypten","-","EGP"
"EUR","EUR CASH","Cash und/oder Derivate","Geldmarkt","1.300,56","0,00","1.300,56","1.180,00","110,19","Europäische Union","-","EUR"
"MBT","MOBILE TELESYSTEMS PUBLIC JOINT AD","Kommunikation","Aktien","765,34","0,00","765,34","76.534,00","0,01","Russland","New York Stock Exchange Inc.","USD"
"MGNT","MAGNIT PJSC SPONSORED RUSSIA RU DR","Nichtzyklische Konsumgüter","Aktien","551,30","0,00","551,30","55.130,00","0,01","Russland","London Stock Exchange","USD"
"IRAO","INTER RAO EES","Versorger","Aktien","504,93","0,00","504,93","6.614.591,00","0,00","Russland","Standard-Classica-Forts","RUB"
"COP","COP CASH","Cash und/oder Derivate","Geldmarkt","335,52","0,00","335,52","1.269.140,00","0,03","Kolumbien","-","COP"
"IDR","IDR CASH","Cash und/oder Derivate","Geldmarkt","358,17","0,00","358,17","5.114.725,00","0,01","Indonesien","-","IDR"
"PHOR","PJSC PHOSAGRO GDR","Materialien","Aktien","232,01","0,00","232,01","23.201,00","0,01","Russland","London Stock Exchange","USD"
"FFGRP","FOLLI FOLLIE S.A. SA","Zyklische Konsumgüter ","Aktien","67,23","0,00","67,23","6.102,00","0,01","Griechenland","Athens Exchange S.A. Cash Market","EUR"
"NVTK","PAO NOVATEK GDR","Energie","Aktien","157,27","0,00","157,27","15.727,00","0,01","Russland","London Stock Exchange","USD"
"SBER","SBERBANK ROSSII","Financials","Aktien","140,50","0,00","140,50","1.840.490,00","0,00","Russland","Standard-Classica-Forts","RUB"
"SNGSP","SURGUTNEFTEGAZ PREF","Energie","Aktien","84,54","0,00","84,54","1.107.431,00","0,00","Russland","Standard-Classica-Forts","RUB"
"SNGS","SURGUTNEFTEGAZ","Energie","Aktien","97,18","0,00","97,18","1.273.098,00","0,00","Russland","Standard-Classica-Forts","RUB"
"GAZP","GAZPROM","Energie","Aktien","154,67","0,00","154,67","2.026.136,00","0,00","Russland","Standard-Classica-Forts","RUB"
"CNH","CNH CASH","Cash und/oder Derivate","Geldmarkt","132,66","0,00","132,66","839,00","15,80","China","-","CNH"
"FIVE","X5 RETAIL GROUP GDR NV","Nichtzyklische Konsumgüter","Aktien","1,67","0,00","1,67","21.821,00","0,00","Russland","Standard-Classica-Forts","RUB"
"-","China Common Rich Renewable Energy","IT","Aktien","0,12","0,00","0,12","93.300,00","0,00","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6863","CHINA HUISHAN DAIRY HOLDINGS COMPA","Nichtzyklische Konsumgüter","Aktien","0,47","0,00","0,47","370.536,00","0,00","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TCSG","TCS GROUP HOLDING REPR CLASS A RE","Financials","Aktien","1,57","0,00","1,57","20.620,00","0,00","Russland","Standard-Classica-Forts","RUB"
"RUAL","UNITED COMPANY RUSAL","Materialien","Aktien","38,53","0,00","38,53","504.790,00","0,00","Russland","Standard-Classica-Forts","RUB"
"RUB","RUB CASH","Cash und/oder Derivate","Geldmarkt","23,93","0,00","23,93","3.135,00","0,76","Russland","-","RUB"
"NLMK","NOVOLIPETSK STEEL","Materialien","Aktien","19,41","0,00","19,41","254.308,00","0,00","Russland","Standard-Classica-Forts","RUB"
"ALRS","AK ALROSA","Materialien","Aktien","33,34","0,00","33,34","436.748,00","0,00","Russland","Standard-Classica-Forts","RUB"
"MOEX","MOSCOW EXCHANGE","Financials","Aktien","16,93","0,00","16,93","221.764,00","0,00","Russland","Standard-Classica-Forts","RUB"
"POLY","POLYMETAL INTERNATIONAL PLC","Materialien","Aktien","4,22","0,00","4,22","55.331,00","0,00","Russland","Standard-Classica-Forts","RUB"
"YNDX","YANDEX NV CLASS A","Kommunikation","Aktien","4,00","0,00","4,00","52.343,00","0,00","Russland","Standard-Classica-Forts","RUB"
"VKCO","VK COMPANY REG S GDR LTD","Kommunikation","Aktien","1,56","0,00","1,56","20.397,00","0,00","Russland","Standard-Classica-Forts","RUB"
"MESM2","MSCI EMER MKT INDEX (ICE) JUN 22","Cash und/oder Derivate","Futures","0,00","0,00","4.877.100,00","90,00","1.083,80","-","Ice Futures U.S.","USD"
"OZON","OZON HOLDINGS ADR PLC","Zyklische Konsumgüter ","Aktien","0,69","0,00","0,69","9.051,00","0,00","Russland","Standard-Classica-Forts","RUB"
"USD","USD/INR","Cash und/oder Derivate","FX","4,86","0,00","4,86","29.682,00","0,01","Indien","-","INR"
"TATN","TATNEFT","Energie","Aktien","18,27","0,00","18,27","239.387,00","0,00","Russland","Standard-Classica-Forts","RUB"
"LKOH","NK LUKOIL","Energie","Aktien","5,43","0,00","5,43","71.160,00","0,00","Russland","Standard-Classica-Forts","RUB"
"CHMF","SEVERSTAL","Materialien","Aktien","2,78","0,00","2,78","36.457,00","0,00","Russland","Standard-Classica-Forts","RUB"
"PLZL","POLYUS","Materialien","Aktien","0,44","0,00","0,44","5.811,00","0,00","Russland","Standard-Classica-Forts","RUB"
"ROSN","NK ROSNEFT","Energie","Aktien","14,94","0,00","14,94","195.714,00","0,00","Russland","Standard-Classica-Forts","RUB"
"GMKN","GMK NORILSKIY NIKEL","Materialien","Aktien","0,83","0,00","0,83","10.894,00","0,00","Russland","Standard-Classica-Forts","RUB"
"VTBR","BANK VTB","Financials","Aktien","33,93","0,00","33,93","444.453.769,00","0,00","Russland","Standard-Classica-Forts","RUB"
 
