Fondsposition per,"10.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"XPEV","XPENG ADR REPRESENTING INC","Zyklische Konsumgüter ","Aktien","1.736.913,75","0,14","1.736.913,75","66.625,00","26,07","China","New York Stock Exchange Inc.","USD"
"BMRI","BANK MANDIRI (PERSERO)","Financials","Aktien","1.732.081,42","0,14","1.732.081,42","3.222.687,00","0,54","Indonesien","Indonesia Stock Exchange","IDR"
"1093","CSPC PHARMACEUTICAL GROUP LTD","Gesundheitsversorgung","Aktien","1.726.596,37","0,14","1.726.596,37","1.557.840,00","1,11","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1326","FORMOSA CHEMICALS & FIBRE CORP","Materialien","Aktien","1.716.536,74","0,14","1.716.536,74","605.250,00","2,84","Taiwan","Taiwan Stock Exchange","TWD"
"3037","UNIMICRON TECHNOLOGY CORP","IT","Aktien","1.708.737,52","0,14","1.708.737,52","201.000,00","8,50","Taiwan","Taiwan Stock Exchange","TWD"
"MAYBANK","MALAYAN BANKING","Financials","Aktien","1.694.602,44","0,14","1.694.602,44","792.913,00","2,14","Malaysia","Bursa Malaysia","MYR"
"6098","COUNTRY GARDEN SERVICES HOLDINGS L","Immobilien","Aktien","1.687.571,91","0,14","1.687.571,91","342.000,00","4,93","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Gesundheitsversorgung","Aktien","1.662.543,59","0,14","1.662.543,59","145.892,00","11,40","Indien","National Stock Exchange Of India","INR"
"ADANIGREEN","ADANI GREEN ENERGY LTD","Versorger","Aktien","1.659.495,51","0,14","1.659.495,51","67.289,00","24,66","Indien","National Stock Exchange Of India","INR"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Financials","Aktien","1.636.201,52","0,14","1.636.201,52","4.491.000,00","0,36","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3034","NOVATEK MICROELECTRONICS CORP","IT","Aktien","1.634.343,36","0,14","1.634.343,36","99.000,00","16,51","Taiwan","Taiwan Stock Exchange","TWD"
"968","XINYI SOLAR HOLDINGS LTD","IT","Aktien","1.624.491,84","0,13","1.624.491,84","857.473,00","1,89","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2357","ASUSTEK COMPUTER INC","IT","Aktien","1.624.020,72","0,13","1.624.020,72","125.619,00","12,93","Taiwan","Taiwan Stock Exchange","TWD"
"2883","CHINA DEVELOPMENT FINANCIAL HOLDIN","Financials","Aktien","1.618.803,58","0,13","1.618.803,58","2.592.738,00","0,62","Taiwan","Taiwan Stock Exchange","TWD"
"2892","FIRST FINANCIAL HOLDING LTD","Financials","Aktien","1.615.655,59","0,13","1.615.655,59","1.778.727,00","0,91","Taiwan","Taiwan Stock Exchange","TWD"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Aktien","1.603.630,14","0,13","1.603.630,14","608.518,00","2,64","Brasilien","XBSP","BRL"
"5880","TAIWAN COOPERATIVE FINANCIAL HOLDI","Financials","Aktien","1.585.054,27","0,13","1.585.054,27","1.679.802,00","0,94","Taiwan","Taiwan Stock Exchange","TWD"
"1088","CHINA SHENHUA ENERGY LTD H","Energie","Aktien","1.567.955,92","0,13","1.567.955,92","570.488,00","2,75","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1101","TAIWAN CEMENT CORP","Materialien","Aktien","1.549.054,34","0,13","1.549.054,34","922.566,00","1,68","Taiwan","Taiwan Stock Exchange","TWD"
"TATAMOTORS","TATA MOTORS LTD","Zyklische Konsumgüter ","Aktien","1.548.662,46","0,13","1.548.662,46","281.627,00","5,50","Indien","National Stock Exchange Of India","INR"
"175","GEELY AUTOMOBILE HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","1.544.503,66","0,13","1.544.503,66","1.015.297,00","1,52","China","Hong Kong Exchanges And Clearing Ltd","HKD"
